stock,currentValue,VaR95,ES95,VaR99,ES99,Standard_Dev,min,max,mean
INTC,55.70000076293945,1.3773177080637353,2.4604140216680377,2.8163829775662634,5.11407815461582,1.2084875907786672,-22.124555524578902,25.466798893074312,0.0777435003805789
WFC,58.060001373291016,1.981276517302426,2.7873387035506765,3.2779946279856844,4.293718459273026,1.196055413891131,-7.744280113206472,4.937953255577504,-0.07053130425708093
VZ,53.279998779296875,0.9219198167019229,1.5548907190205823,1.8540414573063657,2.9413332441743405,0.6473438054319572,-11.201042332959965,7.92229653375005,-0.08343719725456833
PYPL,178.4199981689453,7.191912107719929,9.965426251730053,11.405823835726181,14.980080938050923,4.587058869988042,-32.29785203192452,26.17894200197364,0.17144782309132392
WMT,145.05999755859375,2.588097671245265,3.1740943593438606,3.477524356819117,4.0602855754808145,1.6025525425243492,-5.696725253134474,6.346198289067502,0.028150780603877767
QCOM,188.69000244140625,7.254731201331282,12.901161066792758,13.791158980231842,27.18607885498568,6.533599139209718,-173.25075173473027,162.33951395501532,-0.4692337122041703
MRK,81.37999725341797,1.9122441686860583,4.252461532853035,4.918222915407469,9.819351448478868,1.9964983888755807,-39.90243599972835,25.27820995595978,0.11063458096887849
LLY,244.1199951171875,7.144225630028643,10.551879856107453,12.490013738895641,16.604415453855157,4.486964391686258,-45.736297055935296,46.39640789295095,-0.3294676539331157
MCD,257.7099914550781,4.127066379470108,5.393090065077732,6.0951076510769155,7.492442717871923,2.508101967178947,-11.278624550560437,16.44419283894473,-0.1022655245542458
T,27.18000030517578,0.7295081092204114,1.2036271378333157,1.3780513926876807,2.1841252741836454,0.47111247749961893,-6.456649651962138,3.74232145357929,-0.06420524492699689
NKE,148.17999267578125,3.943027884139269,5.397606639142281,6.150304053939266,7.806525046150742,2.5426618201779325,-15.877477826118138,37.43373314437798,-0.024817256281667546
DHR,293.30999755859375,7.682157680421824,10.678890065468673,13.242380016071763,16.375893883606725,5.079606694332351,-24.516976828837983,27.305148319054354,0.34871535445029433
LOW,242.59999084472656,4.92901375143893,6.602805599819745,7.520614341423027,9.25363578012297,3.1417489738434328,-18.19203494796494,20.733767222124754,0.03221530602956195
LIN,328.6300048828125,5.525080005920586,7.601330902209833,8.67156542663156,11.188654951088893,3.570371763959343,-19.74858727314188,34.914617034488344,0.11640730931332596
TXN,187.00999450683594,4.290864501333118,6.658778859424626,7.402304981394877,11.907280752272582,3.176332046108466,-69.4525660805372,29.291303595537954,0.17395752577628304
NEE,83.19999694824219,1.4875248560718575,2.170506994093674,2.4931774858579416,3.520431542877931,1.041420227034646,-7.870326005709487,8.774036551048013,0.05928933674101055
AMD,136.8800048828125,8.150204004478724,10.393324320159786,11.689985579869813,13.502005404779021,5.029507551405379,-20.248514313052056,22.846468485127502,0.07963250121467995
UNP,246.27000427246094,4.365997637259312,5.546598581173743,6.218167248374726,7.459981479178385,2.5758780813697295,-12.190986796014442,9.0698688778877,-0.08179890235010025
PM,103.37999725341797,1.8170696177150774,2.2672394898834347,2.5848155680833145,2.9247575183694265,1.0948753891423266,-3.9077446036703094,4.203574462512023,-0.005532580936481441
